user_message,support_response,приказной_тон,отказ_помочь,наезды_оскорбления,канцелярит
"Здравствуйте! Подскажите, как заблокировать карту?","Здравствуйте! Вы можете сделать это прямо в приложении: нажмите на нужные настройки карты и выберите пункт 'Заблокировать'. Если возникнут трудности, я могу сделать это для вас.",0,0,0,0
Мне не пришёл кэшбэк за прошлый месяц. Почему?,"Добрый день! Давайте проверим ваши операции. Подскажите, пожалуйста, за какую именно покупку не начислили бонусы? Я всё проверю и разберусь.",0,0,0,0
Приложение постоянно вылетает при переводе денег.,"Извините за временные неудобства. Попробуйте, пожалуйста, обновить приложение в магазине приложений. Если это не поможет решить проблему, обязательно напишите нам снова, мы поищем другие варианты.",0,0,0,0
Какая процентная ставка сейчас по вкладам?,"Сейчас максимальная ставка у нас составляет 16% годовых на вклад 'Оптимальный' при открытии на срок от шести месяцев. Хотите, я помогу вам рассчитать доходность?",0,0,0,0
"Я потерял карту на улице, что мне делать?","Не переживайте, сейчас мы её временно заблокируем, чтобы ваши деньги были в безопасности. Назовите, пожалуйста, ваш номер телефона, я отправлю код для подтверждения операции.",0,0,0,0
Как узнать баланс счета?,"Информируем вас, что актуальные сведения об остатке денежных средств на вашем банковском счете доступны для ознакомления в соответствующем разделе личного кабинета.",0,0,0,1
Нужно поменять паспортные данные в банке.,"Для осуществления процедуры актуализации персональных данных вам необходимо предоставить документ, удостоверяющий личность, в любое отделение нашего банковского учреждения.",0,0,0,1
Почему списали 199 рублей?,Данная операция представляет собой удержание комиссионного вознаграждения за осуществление технического обслуживания вашего карточного продукта согласно тарифному плану.,0,0,0,1
Хочу закрыть кредитку.,Расторжение договора о предоставлении и обслуживании кредитной карты производится на основании письменного заявления клиента по истечении тридцати дней со дня подачи.,0,0,0,1
Как получить справку для налоговой?,Формирование фискальной отчетности и справок о состоянии счетов осуществляется посредством направления соответствующего запроса в модуле дистанционного банковского обслуживания.,0,0,0,1
"Не могу войти в приложение, пишет ошибку.","Вы, наверное, опять пароль неправильно вводите, а потом жалуетесь на систему. Попробуйте нажимать на нужные буквы более внимательно.",0,0,1,0
Где посмотреть условия по кредиту?,"В договоре всё написано, который вы подписали не глядя при оформлении. Откройте его и почитайте наконец, там есть ответы на все вопросы.",0,0,1,0
Мне не начислили проценты по вкладу.,"Проценты начисляются только тем, кто умеет читать условия. Вы вклад закрыли раньше положенного срока, так чему вы теперь удивляетесь?",0,0,1,0
"Перевод идет уже второй день, где деньги?","Переводы в другие банки всегда занимают определенное время. Не нужно устраивать панику и писать нам каждые пять минут, это не ускорит процесс.",0,0,1,0
Как отключить платное СМС-информирование?,"Вы сами эту услугу подключили, когда оформляли карту, а теперь выражаете недовольство. Отключить её можно самостоятельно в настройках профиля.",0,0,1,0
Почему заблокировали мой перевод другу?,Данная транзакция была приостановлена ввиду совершения вами подозрительных действий. Клиенту надлежит более ответственно подходить к финансовым операциям.,0,0,1,1
"С карты списались деньги за подписку, которую я отменил.","Списание денежных средств осуществлено на законных основаниях, поскольку вы проявили невнимательность при ознакомлении с правилами автопродления услуг сторонних сервисов.",0,0,1,1
Я не согласен с комиссией за перевод.,"Возражения клиента касательно тарификации необоснованны, так как ознакомление с тарифным планом является прямой обязанностью держателя карты, которую вы проигнорировали.",0,0,1,1
Ваш банкомат съел мою карту!,Удержание пластикового носителя произошло вследствие несоблюдения вами временного регламента нахождения карты в слоте приема. Изучите правила пользования техническими устройствами.,0,0,1,1
В приложении не отображается мой новый счет.,"Отображение счетов производится корректно, а отсутствие информации вызвано вашей неспособностью обновить интерфейс программного обеспечения до актуальной версии.",0,0,1,1
Как мне подтвердить перевод?,Ждите. Скоро поступит звонок от оператора.,1,0,0,0
"Не могу найти, где скачать выписку.","Не пишите нам, пока внимательно не прочитаете инструкцию на главном экране приложения.",1,0,0,0
"Что делать, если банкомат не выдал деньги?","Если команда всё ещё не работает, отправьте нам скриншот ошибки и фото чека. Быстро.",1,0,0,0
Мне нужно заблокировать карту прямо сейчас.,Назовите номер карты и ваши паспортные данные без лишних слов.,1,0,0,0
Где посмотреть историю операций?,Откройте вкладку 'История' и ищите нужную вам транзакцию там.,1,0,0,0
Как мне закрыть счет?,Предоставьте заполненный бланк заявления установленного образца в оригинале. Ожидайте ответа в течение тридцати рабочих дней.,1,0,0,1
Не работает бесконтактная оплата.,Произведите принудительную перезагрузку мобильного устройства. Не совершайте повторных запросов до окончания процесса.,1,0,0,1
Где получить реквизиты счета?,Осуществите переход в раздел 'Реквизиты лицевого счета клиента'. Распечатайте документ на бумажном носителе.,1,0,0,1
Почему задержали перевод?,Ожидайте завершения регламентных мероприятий по верификации платежа. Прекратите отправку повторных обращений.,1,0,0,1
Как сменить привязанный номер телефона?,Направьте официальное уведомление об изменении контактных данных в адрес головного офиса. Не используйте иные каналы связи.,1,0,0,1
"Я не понимаю, как настроить лимиты.","Откройте настройки и смотрите внимательнее, там всё ясно написано. Перестаньте тратить наше время по глупостям.",1,0,1,0
У меня пропали деньги со счета!,"Не устраивайте панику на пустом месте. Сначала проверьте свои собственные траты, а потом пишите в поддержку.",1,0,1,0
Как сменить пин-код?,Зайдите в меню карты и поменяйте. Неужели так сложно самостоятельно найти эту кнопку и сделать два клика?,1,0,1,0
Мне пришло странное СМС от банка.,Прекратите верить всему подряд и пересылать нам глупости. Установите нормальный антивирус на свой телефон.,1,0,1,0
Где найти договор по кредиту?,"Ищите в своей электронной почте, куда вам его отправили. Научитесь наконец пользоваться поиском по письмам.",1,0,1,0
Почему баланс отображается неверно?,Прекратите засорять канал связи ложными обращениями. Произведите сверку ваших расходных операций с выпиской по счету и не отвлекайте специалистов от работы.,1,0,1,1
Я не могу оплатить коммуналку по QR-коду.,"Наведите камеру мобильного устройства точно на графический идентификатор, а не мимо него. Прекратите демонстрировать техническую неграмотность при совершении платежей.",1,0,1,1
"Как узнать, почему отказали в кредите?","Ознакомьтесь с правилами кредитования, где четко прописано право банка не объяснять причины. Прекратите подавать бессмысленные жалобы ввиду своего несогласия.",1,0,1,1
"Снимите арест со счета, я все оплатил!",Направьте в адрес банка оригинал постановления судебного пристава-исполнителя о снятии ограничений. Прекратите требовать от сотрудников нарушения регламентов из-за вашей забывчивости.,1,0,1,1
"Где моя новая карта, её должны были привезти вчера?",Ждите курьера в установленный временной интервал и не отлучайтесь с места жительства. Ваше неумение планировать время срывает график доставки материальных ценностей.,1,0,1,1
Как узнать баланс?,Здравствуйте! Баланс отображается сразу на главном экране приложения при нажатии на карту. Требуется ли детальная выписка?,0,0,0,0
Мне нужен кредит на ремонт.,Добрый день. Заполните анкету на сайте банка прямо сейчас и ожидайте решения скоринга.,1,0,0,0
Почему поддержка так долго отвечает?!,"Если вам не хватает терпения дождаться своей очереди, закройте чат. Мы работаем с адекватными клиентами.",0,0,1,0
Нужно закрыть дебетовую карту.,Для прекращения действия договора банковского счета вам надлежит составить заявление установленного образца.,0,0,0,1
Где найти ближайший банкомат?,Откройте интерактивную карту в приложении немедленно и посмотрите адреса самостоятельно.,1,0,1,0
"Заблокируйте карту, я её потерял.","Здравствуйте. Настоящим уведомляем, что блокировка платежного инструмента произведена в автоматическом режиме.",0,0,0,1
Мне нужна выписка по счету для налоговой.,"Уведомляем, что формирование фискальной отчетности за отчетный период осуществляется исключительно в личном кабинете.",0,0,0,1
Хочу поменять привязанный номер телефона.,Добрый день. Введите новый номер в профиле прямо сейчас и подтвердите его кодом из СМС.,1,0,0,0
Как заказать новую карту взамен старой?,Здравствуйте! Вкладка 'Перевыпуск' доступна в меню управления картой. Выберите дизайн и подтвердите доставку.,0,0,0,0
